SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax,D
104345,293.07443,19.47928,54.83385,0.186622,1825448103995602816,1825448103995602816,0.6885258053758803,1.4523783890047224
103867,292.610388,19.519475,54.658526,0.589389,1825459472739472896,1825459472739472896,0.2903559476774295,3.44404861687541
104015,292.729935,19.594026,54.778038,0.526411,1825466726975767040,1825466726975767040,0.068194333,14.663975084263965
104402,293.161187,19.610421,54.988167,0.178328,1825475759256816384,1825475759256816384,0.5111557245163504,1.9563509749327146
104396,293.157399,19.610548,54.986555,0.181514,1825475797929662976,1825475797929662976,0.6456212175988757,1.5488958118803644
104367,293.108437,19.669126,55.015589,0.250178,1825477133646312192,1825477133646312192,2.4781269743558725,0.40353057383588065
104363,293.097087,19.683741,55.023231,0.266592,1825477202365781120,1825477202365781120,0.7441030589450306,1.3438998643786968
104446,293.246289,19.724433,55.126708,0.163253,1825478336237959552,1825478336237959552,0.1798024438305289,5.561659667665811
104619,293.495199,19.828289,55.330961,0.008558,1825483593278702976,1825483593278702976,0.6100842632566335,1.6391178403160145
104465,293.273871,19.726588,55.141147,0.141567,1825484044285164416,1825484044285164416,0.6925938778010461,1.443847588105968
104462,293.270735,19.745717,55.156464,0.1534,1825484246112973312,1825484246112973312,0.5149887253340455,1.9417900835622253
104370,293.112629,19.745756,55.084607,0.283711,1825490877533175424,1825490877533175424,1.0447171581311063,0.9571968759361617
104355,293.086946,19.828465,55.145383,0.344794,1825492565501012608,1825492565501012608,2.071609751764833,0.48271639923884613
104477,293.285113,19.908206,55.305235,0.220131,1825499677951626880,1825499677951626880,3.465561606895437,0.28855351987115085
104513,293.334298,19.919947,55.337879,0.185336,1825499918469822848,1825499918469822848,1.416701445830728,0.7058650239561365
104466,293.274499,19.97838,55.361835,0.262797,1825501288533104768,1825501288533104768,1.1746808549294838,0.8512950524421632
104361,293.094184,20.006457,55.304566,0.424728,1825503698044992256,1825503698044992256,0.7479644451423534,1.33696194584447
104435,293.220464,19.978453,55.337351,0.307289,1825503904201830528,1825503904201830528,0.9140865096130733,1.0939883583046133
104959,294.001999,19.561281,55.329486,-0.538219,1825508160484643072,1825508160484643072,0.2143767940264218,4.664683995025836
104840,293.790504,19.623063,55.286474,-0.334092,1825511596457388160,1825511596457388160,0.6214441197693248,1.6091551407247884
104844,293.801859,19.681549,55.342782,-0.315,1825512391057264768,1825512391057264768,0.2835419750395458,3.526814680121098
104873,293.849462,19.83507,55.498712,-0.279475,1825527573735989504,1825527573735989504,0.5311544835049399,1.8826914411063231
104684,293.58684,19.783519,55.333615,-0.088556,1825529360443549952,1825529360443549952,0.9895225976195666,1.0105883406863454
104737,293.649706,19.848911,55.419493,-0.108533,1825530047638930688,1825530047638930688,1.2072190029697702,0.8283501150495398
104879,293.860228,19.886484,55.548558,-0.263306,1825533930289542656,1825533930289542656,0.1313875088497005,7.611073600184783
104833,293.781532,19.904473,55.528285,-0.1899,1825537091386144128,1825537091386144128,0.036684182,27.259705559197148
104887,293.887326,20.080822,55.730726,-0.190981,1825540974037609344,1825540974037609344,0.9078238314246684,1.1015353038603068
105181,294.377017,19.92994,55.823583,-0.666244,1825543967658858880,1825543967658858880,0.4520381704944535,2.212202564456379
105081,294.204917,19.92185,55.73743,-0.52905,1825546166682458624,1825546166682458624,0.082946594,12.055950121351577
105045,294.142191,19.977997,55.757646,-0.450181,1825547472352527744,1825547472352527744,0.695145395,1.4385479745571788
105000,294.088619,20.191184,55.919188,-0.302244,1825566988685158656,1825566988685158656,0.6476902052636213,1.5439480045757097
104595,293.451908,20.076642,55.528493,0.164494,1825596499374440320,1825596499374440320,0.2593499518225357,3.855794045738886
104589,293.440046,20.104634,55.547585,0.1878,1825597431407043328,1825597431407043328,0.1726536062140304,5.791943892329408
104458,293.268554,20.068244,55.437797,0.311136,1825598702717398528,1825598702717398528,0.1654936794446198,6.042526840637659
104913,293.925575,20.264245,55.908425,-0.133047,1825615156714711680,1825615156714711680,2.6320879483789987,0.37992651446767245
104922,293.930766,20.360867,55.995189,-0.09025,1825619043683379200,1825619043683379200,0.6298289073770518,1.5877327767703469
104979,294.052217,20.351488,56.042484,-0.194253,1825621616346406144,1825621616346406144,0.3795215222971512,2.634896682399575
105011,294.111366,20.421796,56.130905,-0.208361,1825623922766536704,1825623922766536704,0.3508762172411405,2.850007925480876
104995,294.077492,20.511626,56.193839,-0.136836,1825628557014549888,1825628557014549888,2.196411210503148,0.4552881515164561
104819,293.762385,20.488406,56.029847,0.109661,1825636322314787712,1825636322314787712,0.1779433599932768,5.619765750392613
